url,headline
https://www.nbcnews.com/tech/security/was-detained-ramadan-eight-days-later-family-collected-body-rcna265834,"He was detained during Ramadan. Eight days later, his family collected his body."
https://www.nbcnews.com/british-royals,U.K. Royals
https://www.nbcnews.com/world/russia-ukraine-news,War in Ukraine
https://www.nbcnews.com/health/health-news/fda-approves-first-gene-therapy-genetic-hearing-loss-rcna341666,FDA approves first gene therapy for genetic hearing loss
https://www.nbcnews.com/health/health-news/study-covid-vaccine-effectiveness-halted-publication-cdc-rcna341623,U.S. health officials nix publication of a study on Covid vaccine effectiveness
https://www.nbcnews.com/health/health-news/trump-rfk-peptides-psychedelics-vaccine-scrutiny-rcna341036,What a text message from Trump to Joe Rogan reveals about RFK Jr.'s FDA
https://www.nbcnews.com/health/aging,Aging
https://www.nbcnews.com/health/aging/brain-health-habits-alzheimers-association-rcna341287,What does it take to protect brain health? 10 habits to start now
https://www.nbcnews.com/health/cancer/pancreatic-cancer-mrna-vaccine-shows-lasting-results-early-trial-rcna331969,Pancreatic cancer mRNA vaccine shows lasting results in an early trial
https://www.nbcnews.com/nightly-news/video/federal-government-eases-regulations-on-medical-marijuana-262009413548,Federal government eases regulations on medical marijuana
https://www.today.com/video/rfk-jr-grilled-on-measles-cases-end-of-flu-vaccines-for-troops-261956677992,"RFK Jr. Grilled on Measles Cases, End of Flu Vaccines for Troops"
https://www.nbcnews.com/nightly-news/video/hhs-secretary-rfk-jr-grilled-on-capitol-hill-261930565683,HHS Secretary RFK Jr. grilled on Capitol Hill
https://www.nbcnews.com/now/video/fda-commissioner-says-decision-on-psychedelic-treatments-will-be-out-quickly-261912133760,FDA commissioner says decision on psychedelic treatments will be out 'quickly'
https://www.nbcnews.com/select/wellness/fitness,Fitness
https://www.nbcnews.com/select/shopping/expert-approved-walking-pads-rcna341231,Expert-approved walking pads that help you sit less and move more
https://www.nbcnews.com/select/lifestyle/footwear,Footwear
https://www.nbcnews.com/select/shopping/best-spin-shoes-rcna253019,"The best spin shoes of 2026, according to spin instructors"
https://www.nbcnews.com/select/tech/personal-tech,Personal Tech
